chunk_id,n_sentences,text
10,20,"jason exclaimed as he crashed out of the trees , panting . his wavy hair was a deep red that framed his eyes but he didnt seem to have noticed its color change or to care . he was wearing an all black layered tunic and pants with boots that looked as light as mine . if i didnt know it was jason , i would have taken a huge step backwards at his assassin-like appearance . he demanded , eyes flickering from each of us as he took in all of our strange appearances . dont know jason , were as stumped as you . he gestured at his belt , grinning mischievously . hanging there were a multitude of thin , dangerous looking knives . he pulled up his sleeve so i could see another one strapped there . she spotted his knives and groaned , stomping her foot . jason whispered behind his hand to seth and i. whats up with her ? thats when suddenly a hideous creature appeared in front of us . it was hunched over , with thick furry skin and wicked claws that shot out of its curled paws . we would soon know them as thrashers , beasts we would get used to seeing . i dont know who screeched louder in fear , but im pretty sure it might have been me . seth pulled his sword out but his hand shook like mad . i clumsily pulled an arrow out of the quiver on my back and struggled to attach it to my bow . how the heck did those people in movies make this look so easy ? i exchanged a look with seth , but he looked as clueless as i did . or maybe my fear was making me see and hear things ."
11,20,"jason moved silently to stand beside us , one of his throwing knives in his hand . in fact , i realized that my whole body was aching from the strange attack i had experienced . and if i was dead , i wouldnt need to breathe so heavily . my heart was racing so fast that it might explode right out of my chest . jason threw the knife he had been holding and it stuck into a tree . he grinned at me and i guess it hit exactly where he wanted . on the count of three , we attack with everything weve got . when seth hit three , he charged with his sword . before i could think , i had notched another one on the bow and drew back the string . it was like i had been an archer my whole life . jason threw knife after knife , hitting its mark every time . when the creature went down , seth stood and took a breath . then another tackled him to the ground . i didnt know what to do and jason didnt either . emily ran forward and pointed to seth who was clawing toward his weapon . before i could reply , fire shot from her finger . the thrasher yelped and jumped off seth and ran toward emily . she smiled wickedly and held both hands out , pelting the creature with fire . i pulled seth up in time to see the thrasher buried entangled by roots shooting from the dirt . jason threw a knife in the pile to make sure it was really dead ."
12,20,"i asked seth , and congratulated emily on her new found talent . he just blinked at him , glancing down at his leg . he didnt answer as he tugged at me to start walking back towards where we had last seen ourselves . we could still see our bodies sleeping peacefully , but this time i noticed that we were all faintly glowing blue . i could see the rise and fall of my chest as i breathed . so i really was alive , which made this situation even creepier and stranger . emily spun in a circle but seth was nowhere to be found . he had his dirty blonde hair back and was wearing his dirty jeans and shirt from school . no dark red hair , no glimmering sword , no bleeding wound . his warrior self was nowhere to be seen . he stared at the place where i was standing , but his eyes werent focused on me . i said frustrated , now tell us how you got back . i imagined myself in my body , and what is was like to be back . the wind picked up around him and then suddenly he was back , blue hair and all , standing beside his sitting , normal body . i imagined what it was like to fight that creature . he explained , but i dont think he even understood . then he was gone again and the real seth stood up . i closed my eyes and thought of school and all of ms. stechers homework that i needed to do . i felt hot and cold , as the winds seemed to pick up . my hair brown hair flopped in my face as i sat up , seeing emily dash over to me ."
13,20,"seconds later jason walked through the trees , rubbing his face . seth grinned at all of us ; we were back . i dont know how we got the gift to become these different people , but we did . thats the mystery and hopefully well solve it one day . we were chosen for some unknown reason , but that reason doesnt matter . all that matters is that we protect this town . he pointed to the pond that was just nestled in the woods . running towards the pond to do what we do best , destroy monsters . chapter 2 we ran and ducked behind a large boulder , huddling together . we all sat down , closed our eyes , and concentrated . i felt a shiver run through my body as i left it and entered my hunter form . i followed emily , jason , and seth as we crept silently over to the monsters , splitting up to surround them . i counted two thrashers , which surprised me . the thrasher turned before we could execute a surprise attack . seth marched over , swinging his sword . jason threw knives calmly at the other monster while emily casted fire by his side . i , however , was jumped on by something entirely new . they were small and stubby , the size of dwarfs or gnomes . their skin was shriveled and grey , and hung off their bodies like cold clothing . their eyes were a bright yellow that matching their teeth and their fingers looked like gnarly old trees ."
14,20,"they grabbed my feet , back and tugged at my hair . why does everything always happen to me ? the ugly creatures continued tugging at me like annoying two year old , which made me get really annoyed . hey , thats what ill call you , toad dwarfs . silly girl , were already called toad dwarfs . i grumbled , trying to pull my head free . who the heck is rising and why does it require pulling my hair out ! he repeated , full of crazed excitement . i swear i could feel him shaking from exhilaration . whatever , youre now an official maniac . no maniacs are allowed to exist except for me and emily . he jumped off as i stabbed the one on my arm . i grabbed my bow and shot him with an arrow before he his little legs could he him very far . he fell to the ground , the arrow sticking straight up at the sky . i killed the others and looked up to find the thrashers dead too , probably courtesy of seth . a few dwarfs were also lying dead in front of emily . i walked back to my body and closed my eyes . when i reopened them , i stood , stretching my legs . the four of us headed back to the restaurant together , adrenaline still pumping through my veins . i told emily and the boys about the freaky dwarves ."
15,20,"i asked , running a hand through my hair . no one said anything and emily produced a pencil out of her bag . i ripped one out of my notebook and handed it to her . we sat at the table and emily titled the page : warnings . okay , jazell , what exactly did he say ? emily asked , pencil poised in the air ready to write . i have no idea who he meant or if what he said means anything . emily scribbled down , toad dwarf said , hes rising , hes rising . i stared at the paper , the question swirling in my mind . now what did the dwarf tell you , seth ? he said , you wont stop him , little warrior . emily added , toad dwarf told seth , you wont stop him , little warrior . did you have to add the little warrior part ? its obvious the dwarf was trying to make you sound weak anyway . he said , he will destroy all half-lings . she added the last bullet ; toad dwarf said to jason , he will destroy all half-ling . none of what she wrote on the paper made any sense to me . no and if they did , i was too busy trying to burn them to hear them . well i think the only thing weve established is that toad dwarves are crazy . i noticed a thin , red line on his cheek where a thrasher must have scratched him ."
16,20,"she said cheerfully , huh wait , sometimes ? im admitting youre sometimes right so dont push it . she tucked the paper in her drawstring bag . they both half nodded , half shrugged , which she took for a yes . i threw the bike lock in my bag , clipped on my helmet , and followed the others . the three of them raced each other , but i kept my bike behind them . what the dwarf had said was still troubling me and i didnt know if anyone else was feeling the same way . i saw seth slow his bike down and glide next to me . then a question popped into my head , what were you doing alone in the woods yesterday ? he was silent so i yelled to emily , hey , seths lost for words ! before he could reply i said , i asked him what he was doing in the woods yesterday and he didnt have an answer . seth , why were you yelling at jazell for being out alone in the woods when you were doing the same ? jazell was doing that , he grumbled , clearly annoyed . but you were still out alone and you yelled at me for doing the same thing . the same thing could have happened to you . do you think youre stronger than the rest of us ? my voice rose slightly at the end of my question . he went quiet and tried to avoid our eye contact . emily can be very demanding sometimes , i actually felt a little bad about involving her in my interrogation . why were you out scouting in the first place ?"
17,20,"i asked calmly , trying not to shout it out like emily . seth gripped the handlebars and i knew he was losing his temper . i was being cautious so we didnt have to worry last night , he said through gritted teeth . i glared at him , nice story seth , now what really happened ? he didnt say anything and he rode ahead to get beside jason , who was in the lead . it was a huge grass circle with a small play set in the middle covered in kids . the woods surrounded it except for the side that faced the street . a fountain was near the entrance along with a bike rack . i clicked the lock together and grabbed my bag . emily was fumbling with her bike lock , which was old and rusted and usually refused to work without a fight . why do you think seth wont tell us what he was doing ? i asked , watching her because she had refused to let me help . he was yelling at you when he broke his own rules . he just doesnt want to admit he did she said through her wild hair . her lock finally clicked and she stood up . the boys were walking side by side towards the play set . it wasnt actually that small but it looked that way from the street . there were six swings and a tower with four slides attached to it . i ran after them with emily right behind me . i slowed down next to jason and put my arm on his shoulder ."
18,20,"jason frowned at me , what are you talking about , jazell ? he was out scouting without telling us . no , we just want the truth , emily said sweetly . seth shoved his hands in his pockets , and glared at the ground . i sat on one of the swings next to emily . i traced the sticky metal rings and sighed . i saw seth and jason arguing off to the side . there was even a dwarf climbing the slide . i elbowed emily in the arm , uh emily , is a dwarf using a slide a normal thing ? i nodded in the direction of the dwarf and her eyes widened in surprise . she jumped off the swing and grabbed me by the arm . she ran over to jason and gripped his arm with her free hand , pulling us both after her . seth frowned but had no choice but to follow . she pushed us into the woods , we got to move fast before someone gets hurt . in a matter of seconds , i had an arrow in my bow , seth had his sword in his hand and jason had his hands full of knives . the dwarf was sitting on the edge of the slide , looking like an ugly version of a toddler , and a few more came out of the woods to join him . we tried to sneak up without being spotted but one of the dwarves turned his head and saw us . he immediately launched himself onto emily . she screeched and i thought i saw one of the kids turn around . he crawled up to her ear and whispered something that i couldnt hear ."
19,20,"she froze , but i saw her place her hands on his wrinkled skin . fire flared from her fingertips , scorching his skin . he let out a screech and vaulted off her , running as fast as his legs could take him . i held an arrow out and emily set it ablaze . i drew back , launching the arrow , and watching it as it hit the dwarf in the back . the fire charred its dying body and i looked away to face my new attacker . one jumped on my head and i swung with my knife . it yelled into my ear , the one will rise , the one will rise ! he jumped off me and ran into the woods . he disappeared before i could notch an arrow and shoot him . emily made us all meet by the fountain . i guess we all heard some weird dwarf talk . he said , kill all the dwarfs you like , but kojas will rise . at least we have an idea of who they might be talking about . she added to her list ; toad dwarf said , kill all you like but kojas will rise . is kojas the person theyve been talking about ? he told me , the one will rise , the one rise ! thats almost the same thing as last time . she scribbled , toad dwarf said , the one will rise , the one will rise ! seth shook his head , but jason spoke up , he said , the king will rise ."
20,20,"emily added one last bullet ; toad dwarf said to jason , the king will rise . her list was : toad dwarf said to jazell , hes rising , hes rising . toad dwarf told seth , you wont stop him , little warrior . toad dwarf said to jason , he will destroy all half-ling . toad dwarf said to emily , kill all you like but kojas will rise . toad dwarf said to jazell , the one will rise , the one will rise ! toad dwarf said to jason , the king will rise . she placed her notes in the middle so we could read it . she was silent , i guess the person theyre talking about is kojas , but we dont know who he is , or if hes important . well , im thinking hes important because these weird dwarfs keep talking about him . well , seth stated , maybe we should ask the dwarfs where he is . you try squeezing out information from one of these pests . hey emily you want to sleep over tonight ? emily frowned , its my turn , jazell , and youre coming over my house . honestly , em , just come over no , she said and crossed her arms stubbornly . i sighed and ran a hand through my hair , knowing it was useless to argue with her when her mind was made up . but next time youre coming to my house . jason turned around with seth on his heels . its only , i popped open my phone , 3pm . hey , dont take this personally , but we want to hang out alone ."
21,20,"seth unchained his bike and rode off with him . i realized then that seth had barely said anything the whole time , but he was already out of sight . i sighed , well , at least we can hang out early . well , while you were arguing with the boys i called home and they said you could come over now . emily flashed me one of her million-watt smiles . ill call home quickly to check with my parents . i called home and my parents said i could go , which wasnt much of a surprise . ive been to plenty of sleepovers at emilys , so my parents didnt mind . plus , our parents were close and emilys family was practically an extension of our own . we rode over to her house and parked our bikes in the garage . we knocked on the door and a woman answered . her light brown hair was almost blonde without any gray in it . the woman definitely did not look her age at all , and she was still as beautiful as i imagined she was in her youth . she smiled warmly at us , her smile a reflection of emilys . emily , dear , can you put your laundry away ? after you do that , you can hang out in your room . her mom moved aside so i could walk in . i unlaced my sneakers and walked up the stairs , looking at the flower paintings hung along the wall that her mom had painted in her spare time . i pushed open emilys bedroom door to see her stuffing her clothes in the drawer and flopping onto the bed . she pulled out my bag and threw it to me so i could set up my sleeping bag on her rug ."
22,20,"her mom called us downstairs , hopefully for food . she already knew our answer and handed us paper plates . i took three slices of pizza and ran upstairs . emily and i sat on the floor , eating pizza and doodling nonsense in her notebook . the time ticked by to one oclock in the morning . we sat side by side on her bed near the window , and i played with the fridge on the edge of one of her pillows . i looked down at emilys pajamas , which were covered in sun-tanning penguins . she stuck her tongue out , what do you have against sun-tanning penguins ? i shouldnt be talking ; i was wearing pajamas covered in little pigs . emily leaned back to turn off her desk light . it clicked off and i gazed outside one more time before turning around to go to bed . emily didnt reply because her face was pushed up against the window . her body was ridged and she didnt move . i whispered , a nervous feeling creeping into my stomach . she backed away from the window so i could see . i saw nothing at first but then i spotted movement . the recognizable lines of toad dwarfs marched around the trees , and i could tell they were up to no good again . they were really starting to get on my nerves . chapter 3 sneaking out after hours isnt easy , especially at emilys house . if we werent really careful , theyd wake up and then wed have some answering to do ."
23,20,"and i dont think theyd understand our reason . i followed emily down the stairs , in our pajamas , to the door . we were careful not to make a sound but i listened closely to the sound of her dad snoring . when the snore rang clearly through the house , i breathed a sigh of relief . we threw on our sneakers and snuck out the door . the summer night air was cool but a little sticky and clammy , making our bodies feel damp . i followed emily down to the back of the garage , where we sat down and entered the monsters world . i pushed my green hair back and hid behind a tree beside emily to watch the dwarfs . there must have been more than ten of them gathered together . they were parading around a blazing camp fire , mumbling and talking about things i couldnt hear over the flames . some more emerged from the woods and joined them , their shadows dancing behind them . then all of them suddenly broke out into an ominous song : he will rise to the heavens , from the very pits of hell . to take control of our world , and the gift- less ones as well . he will rule with a flaming torch , and save those who are worthy . and for those who arent , well , you better watch out ! they all broke out in crazed laughs , which gave me the impression that each and every one of them was mad . they threw dirt at the fire and continued their wild laughs . emily shuddered by me as they lifted their voices in another chorus . he will rise to the heavens , from the very pits of hell , to crush all half-lings and to take their very souls . for the king will rule all , with his cruelty and rage ."
24,20,"i wouldnt want to be that half-ling , that he spears through the head ! this time they were rolling on the floor , howling in laughter . well , i didnt think this was very funny at all . what was funny about getting speared through the head ? i had a feeling the king they were talking about was kojas , and i really didnt want to be around to meet him , especially if it meant my head was going to become well acquainted with a weapon . that is , if i was even a half-ling like the dwarfs claimed i was . they laughed and sat in a tight circle mumbling things i didnt catch . my hand slipped to my knife but emily grabbed my hand to keep me from drawing it from its leather case . no jazell not yet , maybe we can learn a little more from them . plus , we cant just randomly attack them . the song was repeating itself in my head , like a taunt . without thinking , i aimed and shot the nearest dwarf . as soon as he went down , the whole camp was facing our direction . i was standing up now where everyone could see me . emily stayed hidden behind the tree , and i could feel her glare trying to burn me into ashes . youll wish you never shot one of his loyal servants . give me a darn straight answer or ill shoot every single one of you , i spat angrily , leveling my bow . kill all you like half-ling , but that wont help you in the end . you will pay heavily in a terrible death worth all the loyal lives youve slayed , the dwarf proclaimed , and his friends bellowed out an agreement . i dont care what the heck you say about dying because nothing will stop me from killing all of you !"
25,20,"youre making no apparent sense at all , and i dont care what stupid message youre trying to send me ! the dwarf was now whispering and all the others had fallen silent so they could hear . you will care because in the end , he will destroy you once hes done using you . my arms were still tense and my muscles whined in protest as i held my arrow back in full draw . the dwarfs eyes were twinkling in happiness . to take over the gift-less ones world , why else half-ling ? youre the connection between igneeria and your world . he needs you and he has made that clear . i spoke in barely a whisper , igneeria , thats your world isnt it ? the dwarf seemed to be getting extremely excited now , he wants your world and all other worlds because he is a mighty king who wishes to expand his kingdom . now if you dont mind we would like to finish you now , and bring you to the king . the dwarf said politely and snickered , approaching me . i said quickly but i guess they didnt really want my opinion . emily jumped out from behind the trees and lifted a flame . she twirled it around with the movement of her hands and shot it at the nearest dwarf . all the dwarfs scrambled towards us and i simply shot them and emily fried them . then jason and seth dissolved from the shadows and entered the clearing . i yelled across to them , annoyed that they hadnt made their presence known earlier . seth fought his way over to me , why do you need to know ? because you just randomly appeared and i would like to know what youre doing in emilys backyard in the middle of the night ."
26,20,"i pointed out and took down the last dwarf . we gathered around the barely burning embers , after we had re-entered our own world . emily and i quickly summed up what we had learned from the dwarfs . jason listened and didnt speak , like usual , and for once seth didnt interrupt . when we were finished nobody said a word as they soaked up everything that had happened . it seemed like it was just too much for all of us to take in . why are you wearing sun-tanning penguin pajamas , emily ? emily glared at him , what do you have against penguins ? so it wouldnt have been hard to change . seth should have realized that he was pushing emilys limited patience too far and that he should shut up . she reached down and grabbed a small stick . then she smacked seth across the head with it . emily said every word apart and wacked him again . he grimaced and said , stop hitting me already ! alright , she made a motion to put the stick down and hit him again in the head . he glared at her and she threw it on the floor , now im done . so jason , i faced him and he looked up at me , since seth wont tell me ill ask you . we followed a dwarf that was running here . if we didnt get lost , we would have been here faster , jasons face turned the color of his red igneerian hair . its okay , at least you answered me , i shot seth a look ."
27,20,"well if its okay with you boys , we would like to get to bed . its almost 1:30 in the morning , and i would like to get home before my dad wakes himself up , emily said , and walked towards her house . the rest of the night was quiet and didnt include singing dwarfs . before we went to bed though there was a lot of furious writing as emily tried to write everything down . in the morning , we ate pancakes that emilys mom had made us and set off for the park . we happened to run into jason and seth half way and at the same time watched a pole freeze in the middle of july . you dont get to see that every day , which usually meant there was a monster involved . jason , seth and emily saw it too because i was chasing after them as we all ran for the few trees ahead . in a few seconds i had a complete view of the culprit . and strange enough it was a frost beast . frost beasts are the cutest monsters youll ever see . theyre the size of medium dogs and their pelts are a light , icy blue . they may be cute but if you dont watch out , they could easily be the most dangerous monsters around . dont let them breath on you , or youll freeze to death . the frost beast whimpered at me , showing me the cutest eyes imaginable . i wanted to melt and hug him but i knew better not to fall victim to its trick . i drew a single arrow and aimed it at its throat . i didnt want to kill it , but i knew if i didnt , it would kill me without a second thought . frost beasts dont appear until the end of fall and into winter . they love the cold and cant stand the heat ."
28,20,"thats why i knew something was wrong right away , because it shouldnt have been here . it was against its nature and when nature goes wrong , thats a big sign . i pulled back on the string but emily ran forward and shot fire . the beast simply opened its mouth and breathed . what was a shot of fire was now a single icicle that landed on the ground in front of it . instead jason came forward and attacked with his knives . the beast froze the first few into harmless ice cubes but finally went down when one got past its defenses . behind his body appeared seven thrashers and many more frost beasts . ive never seen so many in one place before . a thrasher pack had at least six or seven but there must have been more than ten monsters total . right then , right at that very moment , i knew something was terribly wrong . they all stopped in front of us , all those pairs of angry eyes staring at us . they made me confused , from the warm feeling the frost beasts gave me to the cold feeling the thrashers inflicted . they exchanged some sort of signal , including grunts and yips , and slowly advanced on us . the dogs stalked toward the four of us looking like a animals about to attack their prey . the cute look was gone and all that was left was hunger . the dog nearest to me jumped at my chest and landed on my stomach . i managed to push it down before it breathed on me . i called to her as the cold seeped through my pants and bit at my skin . emily turned her head and was about to reply when the dog caught her robe ."
29,20,"she spun around , shooting fire and completely forgetting my cry for help . at the same time my dog attacker pushed me to the ground , freeing my legs for me . he stared down at me , debating whether or not to freeze me right away . that was his mistake because while he was waiting , i had brought my hunting dagger down on him . i stood up and shook the heavy body off . i didnt even have time to breath before one of the thrashers decided that they would like to have a taste of me . i decided that i didnt want to be shredded like some old rug , so i moved out of his path . that was the worst mistake i made , without even realizing it . at the same time another thrasher was heading in my direction , and by moving out of the way from the first one , i had placed myself in the path of the second one . it slammed into my side at such a great force i tasted blood in my mouth , when i hit the ground . then i felt pain , saw blood , and then nothing at all . chapter 4 i heard muffled voices around me as i regained consciousness . my head throbbed slightly , and so did my side and my tongue . that explained why i had tasted blood ; i must have bitten it . for a second i thought i had returned to my human self when i heard a blast of fire that probably came from emily . stop nagging me , a different voice said that was obviously seths . he was really close to me because i could feel his breath on my face and his voice was very loud . which wasnt helping my throbbing head at all . i dont like just staying here , when more monsters might come . i could just picture her bouncing up and down on her heels , full of tension ."
