sentence_id,chunk_id,pos,text
122,6,2,that was the only way to explain the million of cuts and bruises i gained from fighting creatures .
123,6,3,"the truth is that i have really great balance , which i had gained from so much fighting ."
124,6,4,"i was a little klutzy when i was small , so it was easy for my parents to believe i still was ."
125,6,5,after dinner i went straight up stairs to go to sleep .
126,6,6,and hopefully my phone wouldnt stop me like it did most nights .
127,6,7,monsters loved to come out at night and cause trouble .
128,6,8,"they never seem to rest , much to my annoyance ."
129,6,9,"i sighed and rolled over , burying my face in my pillow ."
130,6,10,i managed to think about something other than creatures that go bump in the night as i drifted off to sleep .
131,6,11,"in the morning i changed and ran down stairs and left a note saying i was going out to eat with jason , emily and seth ."
132,6,12,it took me minutes to speed down to the small breakfast restaurant in town .
133,6,13,i chained up my bike and walked over to the plastic blue table my friends had occupied .
134,6,14,"i slid in next to emily , who was talking about some book she had read recently ."
135,6,15,"jason , who sat next to her , was pretending to be fascinated by her rant ."
136,6,16,emily stopped in mid-sentence when she noticed me sitting beside her .
137,6,17,"is it true , did you take on a monster by yourself yesterday ?"
138,6,18,well you did and i thought the group had a right to know that .
139,6,19,plus i bet all of us want a shot at them too .
140,7,0,the light brown curls that framed her pretty face bounced around playfully .
141,7,1,"he never talked much like emily , who was easily the most talkative , friendly person i knew ."
142,7,2,"jason was more of the silent , watching type , who said little but noticed much ."
143,7,3,"i traced in a puddle on the table , avoiding everyones eye contact as they stared at me ."
144,7,4,"hey seth , its not like you havent done something stupid ."
145,7,5,hey dont make me nag you about the time you almost took off my head with your throwing knifes .
146,7,6,jason stopped dead and narrowed his eyes .
147,7,7,"alright , we understand that weve all done stupid , foolish things ."
148,7,8,"so lets just add this accident to my list , okay ?"
149,7,9,i said quickly before the two started something .
150,7,10,they nodded but shot each other smirks .
151,7,11,"i sighed , wondering why those two buffoons had been granted this power along , with emily and me ."
152,7,12,its not like they werent foolish enough already .
153,7,13,the day when it all changed was still a mystery to us .
154,7,14,a lot of things happened that didnt quite make sense .
155,7,15,the four of us were already best friends .
156,7,16,"we were walking through the woods , rambling on about how halloween was almost here and that ms. stecher was still giving us too much homework ."
157,7,17,then all of a sudden an invisible object slammed into me .
158,7,18,seth ran forward and grabbed a branch to protect me .
159,7,19,it should have gone right through the air but it collided into something and snapped in half .
160,8,0,emily ran over to me but was plowed to the ground .
161,8,1,"she screamed , spitting out dirt , twigs and leaves ."
162,8,2,he didnt have a clue as what to do to fight these invisible creatures .
163,8,3,"none of us did , at that time , because we didnt know what was going on ."
164,8,4,the world was still a normal place to us at the time .
165,8,5,something grabbed seths legs and pulled him against a tree .
166,8,6,he kicked and punched but couldnt find the right place to hit his attacker .
167,8,7,i opened my mouth to say that we already were when he vanished .
168,8,8,i heard emily yell the first curse words ive heard her say in a while .
169,8,9,i spotted her red arm just before my body felt like fire .
170,8,10,i didnt really black out but thats what i thought at the time .
171,8,11,i opened my eyes to find i was sitting on the ground next to my sleeping body .
172,8,12,"i saw emily sitting there , saying nothing for once ."
173,8,13,something fell off my back and i picked it up .
174,8,14,"it was a wooden bow , and when i reached behind my back i felt a quiver full of feathered arrows strapped there ."
175,8,15,"i ran a finger over the smooth , dark wood and turned to see seth crashing out of the woods ."
176,8,16,i smirked at him and pointed at his head .
177,8,17,"i giggled , not knowing why i was giggling after what had just happened to us a few minutes ago ."
178,8,18,he frowned and pulled a piece or two out of his head .
179,8,19,"his eyes widened , and i laughed at the shock on his face ."
180,9,0,"if we were dead , which was my best guess , why not poke fun at him ?"
181,9,1,i was wearing light brown hunting boots and tight black pants made out of some sort of light cloth .
182,9,2,a thick woven jacket was shielding me from the october cold .
183,9,3,"when i looked back at seth , i realized he had also made an outfit change ."
184,9,4,he was wearing black leather boots and dark blue pants .
185,9,5,"his top was a short , brown cloak with a hood and leather belt ."
186,9,6,a beautiful steel sword with an ornamental hilt was swinging at his side from a woven sheath .
187,9,7,i rambled as i examined the short hunting knife that was resting in a small sheath on my hip .
188,9,8,i ran a finger over the blade before putting it back .
189,9,9,how seth and i had acquired such dangerous weapons was anyones guess .
190,9,10,i heard footsteps and turned to see emily running over .
191,9,11,"she was wearing a close fitting , long robe ."
192,9,12,it was a stunning deep blue with a trim of gold embroidery .
193,9,13,she had no weapons dangling from her body were visible from where i was standing .
194,9,14,she spun around so we could take in all of its bubblegum pink color .
195,9,15,she looked at the bow slung over my shoulder and seths gleaming sword .
196,9,16,"hey , i dont have anything cool and deadly ."
197,9,17,why do you both get something like that and i didnt ?
198,9,18,its not like you can trust jazell with something sharp or dangerous .
199,9,19,arming you is as scary as giving a kindergartener a knife .
200,10,0,"jason exclaimed as he crashed out of the trees , panting ."
201,10,1,his wavy hair was a deep red that framed his eyes but he didnt seem to have noticed its color change or to care .
202,10,2,he was wearing an all black layered tunic and pants with boots that looked as light as mine .
203,10,3,"if i didnt know it was jason , i would have taken a huge step backwards at his assassin-like appearance ."
204,10,4,"he demanded , eyes flickering from each of us as he took in all of our strange appearances ."
205,10,5,"dont know jason , were as stumped as you ."
206,10,6,"he gestured at his belt , grinning mischievously ."
207,10,7,"hanging there were a multitude of thin , dangerous looking knives ."
208,10,8,he pulled up his sleeve so i could see another one strapped there .
209,10,9,"she spotted his knives and groaned , stomping her foot ."
210,10,10,jason whispered behind his hand to seth and i. whats up with her ?
211,10,11,thats when suddenly a hideous creature appeared in front of us .
212,10,12,"it was hunched over , with thick furry skin and wicked claws that shot out of its curled paws ."
213,10,13,"we would soon know them as thrashers , beasts we would get used to seeing ."
214,10,14,"i dont know who screeched louder in fear , but im pretty sure it might have been me ."
215,10,15,seth pulled his sword out but his hand shook like mad .
216,10,16,i clumsily pulled an arrow out of the quiver on my back and struggled to attach it to my bow .
217,10,17,how the heck did those people in movies make this look so easy ?
218,10,18,"i exchanged a look with seth , but he looked as clueless as i did ."
219,10,19,or maybe my fear was making me see and hear things .
220,11,0,"jason moved silently to stand beside us , one of his throwing knives in his hand ."
221,11,1,"in fact , i realized that my whole body was aching from the strange attack i had experienced ."
222,11,2,"and if i was dead , i wouldnt need to breathe so heavily ."
223,11,3,my heart was racing so fast that it might explode right out of my chest .
224,11,4,jason threw the knife he had been holding and it stuck into a tree .
225,11,5,he grinned at me and i guess it hit exactly where he wanted .
226,11,6,"on the count of three , we attack with everything weve got ."
227,11,7,"when seth hit three , he charged with his sword ."
228,11,8,"before i could think , i had notched another one on the bow and drew back the string ."
229,11,9,it was like i had been an archer my whole life .
230,11,10,"jason threw knife after knife , hitting its mark every time ."
231,11,11,"when the creature went down , seth stood and took a breath ."
232,11,12,then another tackled him to the ground .
233,11,13,i didnt know what to do and jason didnt either .
234,11,14,emily ran forward and pointed to seth who was clawing toward his weapon .
235,11,15,"before i could reply , fire shot from her finger ."
236,11,16,the thrasher yelped and jumped off seth and ran toward emily .
237,11,17,"she smiled wickedly and held both hands out , pelting the creature with fire ."
238,11,18,i pulled seth up in time to see the thrasher buried entangled by roots shooting from the dirt .
239,11,19,jason threw a knife in the pile to make sure it was really dead .
240,12,0,"i asked seth , and congratulated emily on her new found talent ."
241,12,1,"he just blinked at him , glancing down at his leg ."
242,12,2,he didnt answer as he tugged at me to start walking back towards where we had last seen ourselves .
243,12,3,"we could still see our bodies sleeping peacefully , but this time i noticed that we were all faintly glowing blue ."
244,12,4,i could see the rise and fall of my chest as i breathed .
245,12,5,"so i really was alive , which made this situation even creepier and stranger ."
246,12,6,emily spun in a circle but seth was nowhere to be found .
247,12,7,he had his dirty blonde hair back and was wearing his dirty jeans and shirt from school .
248,12,8,"no dark red hair , no glimmering sword , no bleeding wound ."
249,12,9,his warrior self was nowhere to be seen .
250,12,10,"he stared at the place where i was standing , but his eyes werent focused on me ."
251,12,11,"i said frustrated , now tell us how you got back ."
252,12,12,"i imagined myself in my body , and what is was like to be back ."
253,12,13,"the wind picked up around him and then suddenly he was back , blue hair and all , standing beside his sitting , normal body ."
254,12,14,i imagined what it was like to fight that creature .
255,12,15,"he explained , but i dont think he even understood ."
256,12,16,then he was gone again and the real seth stood up .
257,12,17,i closed my eyes and thought of school and all of ms. stechers homework that i needed to do .
258,12,18,"i felt hot and cold , as the winds seemed to pick up ."
259,12,19,"my hair brown hair flopped in my face as i sat up , seeing emily dash over to me ."
260,13,0,"seconds later jason walked through the trees , rubbing his face ."
261,13,1,seth grinned at all of us ; we were back .
262,13,2,"i dont know how we got the gift to become these different people , but we did ."
263,13,3,thats the mystery and hopefully well solve it one day .
264,13,4,"we were chosen for some unknown reason , but that reason doesnt matter ."
265,13,5,all that matters is that we protect this town .
266,13,6,he pointed to the pond that was just nestled in the woods .
267,13,7,"running towards the pond to do what we do best , destroy monsters ."
268,13,8,"chapter 2 we ran and ducked behind a large boulder , huddling together ."
269,13,9,"we all sat down , closed our eyes , and concentrated ."
270,13,10,i felt a shiver run through my body as i left it and entered my hunter form .
271,13,11,"i followed emily , jason , and seth as we crept silently over to the monsters , splitting up to surround them ."
272,13,12,"i counted two thrashers , which surprised me ."
273,13,13,the thrasher turned before we could execute a surprise attack .
274,13,14,"seth marched over , swinging his sword ."
275,13,15,jason threw knives calmly at the other monster while emily casted fire by his side .
276,13,16,"i , however , was jumped on by something entirely new ."
277,13,17,"they were small and stubby , the size of dwarfs or gnomes ."
278,13,18,"their skin was shriveled and grey , and hung off their bodies like cold clothing ."
279,13,19,their eyes were a bright yellow that matching their teeth and their fingers looked like gnarly old trees .
280,14,0,"they grabbed my feet , back and tugged at my hair ."
281,14,1,why does everything always happen to me ?
282,14,2,"the ugly creatures continued tugging at me like annoying two year old , which made me get really annoyed ."
283,14,3,"hey , thats what ill call you , toad dwarfs ."
284,14,4,"silly girl , were already called toad dwarfs ."
285,14,5,"i grumbled , trying to pull my head free ."
286,14,6,who the heck is rising and why does it require pulling my hair out !
287,14,7,"he repeated , full of crazed excitement ."
288,14,8,i swear i could feel him shaking from exhilaration .
289,14,9,"whatever , youre now an official maniac ."
290,14,10,no maniacs are allowed to exist except for me and emily .
291,14,11,he jumped off as i stabbed the one on my arm .
292,14,12,i grabbed my bow and shot him with an arrow before he his little legs could he him very far .
293,14,13,"he fell to the ground , the arrow sticking straight up at the sky ."
294,14,14,"i killed the others and looked up to find the thrashers dead too , probably courtesy of seth ."
295,14,15,a few dwarfs were also lying dead in front of emily .
296,14,16,i walked back to my body and closed my eyes .
297,14,17,"when i reopened them , i stood , stretching my legs ."
298,14,18,"the four of us headed back to the restaurant together , adrenaline still pumping through my veins ."
299,14,19,i told emily and the boys about the freaky dwarves .
300,15,0,"i asked , running a hand through my hair ."
301,15,1,no one said anything and emily produced a pencil out of her bag .
302,15,2,i ripped one out of my notebook and handed it to her .
303,15,3,we sat at the table and emily titled the page : warnings .
304,15,4,"okay , jazell , what exactly did he say ?"
305,15,5,"emily asked , pencil poised in the air ready to write ."
306,15,6,i have no idea who he meant or if what he said means anything .
307,15,7,"emily scribbled down , toad dwarf said , hes rising , hes rising ."
308,15,8,"i stared at the paper , the question swirling in my mind ."
309,15,9,"now what did the dwarf tell you , seth ?"
310,15,10,"he said , you wont stop him , little warrior ."
311,15,11,"emily added , toad dwarf told seth , you wont stop him , little warrior ."
312,15,12,did you have to add the little warrior part ?
313,15,13,its obvious the dwarf was trying to make you sound weak anyway .
314,15,14,"he said , he will destroy all half-lings ."
315,15,15,"she added the last bullet ; toad dwarf said to jason , he will destroy all half-ling ."
316,15,16,none of what she wrote on the paper made any sense to me .
317,15,17,"no and if they did , i was too busy trying to burn them to hear them ."
318,15,18,well i think the only thing weve established is that toad dwarves are crazy .
319,15,19,"i noticed a thin , red line on his cheek where a thrasher must have scratched him ."
320,16,0,"she said cheerfully , huh wait , sometimes ?"
321,16,1,im admitting youre sometimes right so dont push it .
322,16,2,she tucked the paper in her drawstring bag .
323,16,3,"they both half nodded , half shrugged , which she took for a yes ."
324,16,4,"i threw the bike lock in my bag , clipped on my helmet , and followed the others ."
325,16,5,"the three of them raced each other , but i kept my bike behind them ."
326,16,6,what the dwarf had said was still troubling me and i didnt know if anyone else was feeling the same way .
327,16,7,i saw seth slow his bike down and glide next to me .
328,16,8,"then a question popped into my head , what were you doing alone in the woods yesterday ?"
329,16,9,"he was silent so i yelled to emily , hey , seths lost for words !"
330,16,10,"before he could reply i said , i asked him what he was doing in the woods yesterday and he didnt have an answer ."
331,16,11,"seth , why were you yelling at jazell for being out alone in the woods when you were doing the same ?"
332,16,12,"jazell was doing that , he grumbled , clearly annoyed ."
333,16,13,but you were still out alone and you yelled at me for doing the same thing .
334,16,14,the same thing could have happened to you .
335,16,15,do you think youre stronger than the rest of us ?
336,16,16,my voice rose slightly at the end of my question .
337,16,17,he went quiet and tried to avoid our eye contact .
338,16,18,"emily can be very demanding sometimes , i actually felt a little bad about involving her in my interrogation ."
339,16,19,why were you out scouting in the first place ?
340,17,0,"i asked calmly , trying not to shout it out like emily ."
341,17,1,seth gripped the handlebars and i knew he was losing his temper .
342,17,2,"i was being cautious so we didnt have to worry last night , he said through gritted teeth ."
343,17,3,"i glared at him , nice story seth , now what really happened ?"
344,17,4,"he didnt say anything and he rode ahead to get beside jason , who was in the lead ."
345,17,5,it was a huge grass circle with a small play set in the middle covered in kids .
346,17,6,the woods surrounded it except for the side that faced the street .
347,17,7,a fountain was near the entrance along with a bike rack .
348,17,8,i clicked the lock together and grabbed my bag .
349,17,9,"emily was fumbling with her bike lock , which was old and rusted and usually refused to work without a fight ."
350,17,10,why do you think seth wont tell us what he was doing ?
351,17,11,"i asked , watching her because she had refused to let me help ."
352,17,12,he was yelling at you when he broke his own rules .
353,17,13,he just doesnt want to admit he did she said through her wild hair .
354,17,14,her lock finally clicked and she stood up .
355,17,15,the boys were walking side by side towards the play set .
356,17,16,it wasnt actually that small but it looked that way from the street .
357,17,17,there were six swings and a tower with four slides attached to it .
358,17,18,i ran after them with emily right behind me .
359,17,19,i slowed down next to jason and put my arm on his shoulder .
360,18,0,"jason frowned at me , what are you talking about , jazell ?"
361,18,1,he was out scouting without telling us .
362,18,2,"no , we just want the truth , emily said sweetly ."
363,18,3,"seth shoved his hands in his pockets , and glared at the ground ."
364,18,4,i sat on one of the swings next to emily .
365,18,5,i traced the sticky metal rings and sighed .
366,18,6,i saw seth and jason arguing off to the side .
367,18,7,there was even a dwarf climbing the slide .
368,18,8,"i elbowed emily in the arm , uh emily , is a dwarf using a slide a normal thing ?"
369,18,9,i nodded in the direction of the dwarf and her eyes widened in surprise .
370,18,10,she jumped off the swing and grabbed me by the arm .
371,18,11,"she ran over to jason and gripped his arm with her free hand , pulling us both after her ."
372,18,12,seth frowned but had no choice but to follow .
373,18,13,"she pushed us into the woods , we got to move fast before someone gets hurt ."
374,18,14,"in a matter of seconds , i had an arrow in my bow , seth had his sword in his hand and jason had his hands full of knives ."
375,18,15,"the dwarf was sitting on the edge of the slide , looking like an ugly version of a toddler , and a few more came out of the woods to join him ."
376,18,16,we tried to sneak up without being spotted but one of the dwarves turned his head and saw us .
377,18,17,he immediately launched himself onto emily .
378,18,18,she screeched and i thought i saw one of the kids turn around .
379,18,19,he crawled up to her ear and whispered something that i couldnt hear .
380,19,0,"she froze , but i saw her place her hands on his wrinkled skin ."
381,19,1,"fire flared from her fingertips , scorching his skin ."
382,19,2,"he let out a screech and vaulted off her , running as fast as his legs could take him ."
383,19,3,i held an arrow out and emily set it ablaze .
384,19,4,"i drew back , launching the arrow , and watching it as it hit the dwarf in the back ."
385,19,5,the fire charred its dying body and i looked away to face my new attacker .
386,19,6,one jumped on my head and i swung with my knife .
387,19,7,"it yelled into my ear , the one will rise , the one will rise !"
388,19,8,he jumped off me and ran into the woods .
389,19,9,he disappeared before i could notch an arrow and shoot him .
390,19,10,emily made us all meet by the fountain .
391,19,11,i guess we all heard some weird dwarf talk .
392,19,12,"he said , kill all the dwarfs you like , but kojas will rise ."
393,19,13,at least we have an idea of who they might be talking about .
394,19,14,"she added to her list ; toad dwarf said , kill all you like but kojas will rise ."
395,19,15,is kojas the person theyve been talking about ?
396,19,16,"he told me , the one will rise , the one rise !"
397,19,17,thats almost the same thing as last time .
398,19,18,"she scribbled , toad dwarf said , the one will rise , the one will rise !"
399,19,19,"seth shook his head , but jason spoke up , he said , the king will rise ."
400,20,0,"emily added one last bullet ; toad dwarf said to jason , the king will rise ."
401,20,1,"her list was : toad dwarf said to jazell , hes rising , hes rising ."
402,20,2,"toad dwarf told seth , you wont stop him , little warrior ."
403,20,3,"toad dwarf said to jason , he will destroy all half-ling ."
404,20,4,"toad dwarf said to emily , kill all you like but kojas will rise ."
405,20,5,"toad dwarf said to jazell , the one will rise , the one will rise !"
406,20,6,"toad dwarf said to jason , the king will rise ."
407,20,7,she placed her notes in the middle so we could read it .
408,20,8,"she was silent , i guess the person theyre talking about is kojas , but we dont know who he is , or if hes important ."
409,20,9,"well , im thinking hes important because these weird dwarfs keep talking about him ."
410,20,10,"well , seth stated , maybe we should ask the dwarfs where he is ."
411,20,11,you try squeezing out information from one of these pests .
412,20,12,hey emily you want to sleep over tonight ?
413,20,13,"emily frowned , its my turn , jazell , and youre coming over my house ."
414,20,14,"honestly , em , just come over no , she said and crossed her arms stubbornly ."
415,20,15,"i sighed and ran a hand through my hair , knowing it was useless to argue with her when her mind was made up ."
416,20,16,but next time youre coming to my house .
417,20,17,jason turned around with seth on his heels .
418,20,18,"its only , i popped open my phone , 3pm ."
419,20,19,"hey , dont take this personally , but we want to hang out alone ."
420,21,0,seth unchained his bike and rode off with him .
421,21,1,"i realized then that seth had barely said anything the whole time , but he was already out of sight ."
422,21,2,"i sighed , well , at least we can hang out early ."
423,21,3,"well , while you were arguing with the boys i called home and they said you could come over now ."
424,21,4,emily flashed me one of her million-watt smiles .
425,21,5,ill call home quickly to check with my parents .
426,21,6,"i called home and my parents said i could go , which wasnt much of a surprise ."
427,21,7,"ive been to plenty of sleepovers at emilys , so my parents didnt mind ."
428,21,8,"plus , our parents were close and emilys family was practically an extension of our own ."
429,21,9,we rode over to her house and parked our bikes in the garage .
430,21,10,we knocked on the door and a woman answered .
431,21,11,her light brown hair was almost blonde without any gray in it .
432,21,12,"the woman definitely did not look her age at all , and she was still as beautiful as i imagined she was in her youth ."
433,21,13,"she smiled warmly at us , her smile a reflection of emilys ."
434,21,14,"emily , dear , can you put your laundry away ?"
435,21,15,"after you do that , you can hang out in your room ."
436,21,16,her mom moved aside so i could walk in .
437,21,17,"i unlaced my sneakers and walked up the stairs , looking at the flower paintings hung along the wall that her mom had painted in her spare time ."
438,21,18,i pushed open emilys bedroom door to see her stuffing her clothes in the drawer and flopping onto the bed .
439,21,19,she pulled out my bag and threw it to me so i could set up my sleeping bag on her rug .
440,22,0,"her mom called us downstairs , hopefully for food ."
441,22,1,she already knew our answer and handed us paper plates .
442,22,2,i took three slices of pizza and ran upstairs .
443,22,3,"emily and i sat on the floor , eating pizza and doodling nonsense in her notebook ."
444,22,4,the time ticked by to one oclock in the morning .
445,22,5,"we sat side by side on her bed near the window , and i played with the fridge on the edge of one of her pillows ."
446,22,6,"i looked down at emilys pajamas , which were covered in sun-tanning penguins ."
447,22,7,"she stuck her tongue out , what do you have against sun-tanning penguins ?"
448,22,8,i shouldnt be talking ; i was wearing pajamas covered in little pigs .
449,22,9,emily leaned back to turn off her desk light .
450,22,10,it clicked off and i gazed outside one more time before turning around to go to bed .
451,22,11,emily didnt reply because her face was pushed up against the window .
452,22,12,her body was ridged and she didnt move .
453,22,13,"i whispered , a nervous feeling creeping into my stomach ."
454,22,14,she backed away from the window so i could see .
455,22,15,i saw nothing at first but then i spotted movement .
456,22,16,"the recognizable lines of toad dwarfs marched around the trees , and i could tell they were up to no good again ."
457,22,17,they were really starting to get on my nerves .
458,22,18,"chapter 3 sneaking out after hours isnt easy , especially at emilys house ."
459,22,19,"if we werent really careful , theyd wake up and then wed have some answering to do ."
460,23,0,and i dont think theyd understand our reason .
461,23,1,"i followed emily down the stairs , in our pajamas , to the door ."
462,23,2,we were careful not to make a sound but i listened closely to the sound of her dad snoring .
463,23,3,"when the snore rang clearly through the house , i breathed a sigh of relief ."
464,23,4,we threw on our sneakers and snuck out the door .
465,23,5,"the summer night air was cool but a little sticky and clammy , making our bodies feel damp ."
